Afrikaans	beeste	Noun	# {{plural of|bees|lang=af}}
Afrikaans	beesvleis	Noun	# [[beef]]
Afrikaans	befok	Adjective	# {{context|slang|lang=af}} [[mad]]; [[crazy]]
Afrikaans	begrawe	Noun	# to [[bury]]
Afrikaans	begrawende	Verb	# {{present participle of|lang=af|begrawe}}
Afrikaans	behaaglik	Adjective	# [[pleasant]]
Afrikaans	belangrik	Adjective	# [[important]] (having relevant and crucial value)
Afrikaans	belastingbetaler	Noun	# {{l/en|taxpayer}}
Afrikaans	belde	Noun	# {{plural of|belt|lang=af}}
Afrikaans	belowe	Verb	# to [[promise]]
Afrikaans	belt	Noun	# {{l/en|belt}}
Afrikaans	berg	Noun	# [[mountain]]
Afrikaans	berge	Noun	# {{plural of|berg|lang=af}}
Afrikaans	berillium	Noun	# [[beryllium]]
Afrikaans	beskuit	Noun	# [[rusk]], Dutch biscuit
Afrikaans	beskuite	Noun	#{{plural of|beskuit|lang=af}}
Afrikaans	beskuits	Noun	#{{plural of|beskuit|lang=af}}
Afrikaans	besoek	Noun	# a {{l/en|visit}}
Afrikaans	besoek	Noun	# [[company]] {{gloss|people visiting}}
Afrikaans	besoek	Verb	# to [[visit]]
Afrikaans	besoeke	Noun	# {{plural of|besoek|lang=af}}
Afrikaans	beter	Adjective	# {{comparative of|goed|lang=af}}
Afrikaans	beter	Verb	# {{non-gloss definition|Used as an auxiliary verb to mean ''[[must]]''.}}
Afrikaans	bewe	Verb	# [[tremble]]; [[shiver]]
Afrikaans	beweeg	Verb	# {{context|lang=af|intransitive}} to [[move]], to be in motion, to [[stir]]
Afrikaans	beweeg	Verb	# {{context|lang=af|transitive}} to [[move]], to put into motion
Afrikaans	bewegende	Verb	# {{present participle of|lang=af|beweeg}}
Afrikaans	bibliografie	Noun	# {{l/en|bibliography}}
Afrikaans	biblioteek	Noun	#[[library]]
Afrikaans	biblioteke	Noun	#{{plural of|biblioteek|lang=af}}
Afrikaans	bieg	Noun	# [[confession]]
Afrikaans	bietjie	Adverb	# a [[little]]
Afrikaans	bietjie	Noun	# a [[little]] [[bit]], a [[few]]
Afrikaans	bietjies	Noun	# {{plural of|bietjie|lang=af}}
Afrikaans	binne	Preposition	# [[in]], [[inside]]
Afrikaans	biologie	Noun	# [[biology]] (science of living matter)
